runtime,theme,size,seed,variant,days,cpu_ms,wall_ms
node,delta,128,6,baseline,73,25890,27793.604100001976
node,delta,128,6,water-sparse,73,23621,25871.69670000393
node,delta,128,6,soil-cache,73,24499,26059.181799997576
node,delta,128,6,soil-saturation,73,25801,27382.07880000118
node,delta,128,6,water-wasm,73,21860,22926.963400005363
node,delta,128,6,combined,73,18549,19821.37849999685
node,delta,128,7,baseline,73,30252,32171.034299998544
node,delta,128,7,water-sparse,73,26938,28903.52850000281
node,delta,128,7,soil-cache,73,27983,29950.24670000188
node,delta,128,7,soil-saturation,73,29612,31636.86050000135
node,delta,128,7,water-wasm,73,24311,25854.244300003164
node,delta,128,7,combined,73,20902,22357.241399998777
node,delta,128,8,baseline,73,23250,24642.403899999335
node,delta,128,8,water-sparse,73,23503,24788.965400001034
node,delta,128,8,soil-cache,73,21854,23006.410699997097
node,delta,128,8,soil-saturation,73,23299,24836.012900003232
node,delta,128,8,water-wasm,73,19249,20664.40700000059
node,delta,128,8,combined,73,18858,19746.84620000329
node,delta,128,9,baseline,73,25625,28506.54469999578
node,delta,128,9,water-sparse,73,23412,26132.345899994485
node,delta,128,9,soil-cache,73,24358,27171.755200004205
node,delta,128,9,soil-saturation,73,26078,28961.991599997506
node,delta,128,9,water-wasm,73,21642,24057.940599994734
node,delta,128,9,combined,73,18198,20164.292099998333
node,delta,256,1,baseline,73,96015,98145.4467999991
node,delta,256,1,water-sparse,73,93752,95780.37489999644
node,delta,256,1,soil-cache,73,91801,93725.19739999808
node,delta,256,1,soil-saturation,73,97651,99946.93740000576
node,delta,256,1,water-wasm,73,79078,80941.14309999719
node,delta,256,1,combined,73,73174,74710.40150000341
node,delta,256,2,baseline,73,108195,112084.01150000468
node,delta,256,2,water-sparse,73,93168,97752.56050000153
node,delta,256,2,soil-cache,73,100184,106967.1270999983
node,delta,256,2,soil-saturation,73,106384,114146.60400000215
node,delta,256,2,water-wasm,73,88501,93999.13190000504
node,delta,256,2,combined,73,72570,75495.60679998808
node,delta,256,3,baseline,73,88567,92737.53800000437
node,delta,256,3,water-sparse,73,91926,101858.9178999979
node,delta,256,3,soil-cache,73,83748,91803.18359999545
node,delta,256,3,soil-saturation,73,89327,93703.55689999461
node,delta,256,3,water-wasm,73,72330,76177.2679999955
node,delta,256,3,combined,73,69567,71992.15679999255
node,delta,96,1,baseline,73,13392,14764.789199999868
node,delta,96,1,water-sparse,73,12845,15642.25520000013
node,delta,96,1,soil-cache,73,12579,14502.408700000116
node,delta,96,1,soil-saturation,73,13082,14518.518100000088
node,delta,96,1,water-wasm,73,10639,11581.49830000008
node,delta,96,1,combined,73,8812,8976.384299999976
node,highlands,128,1,baseline,73,21966,25418.329999996815
node,highlands,128,1,water-sparse,73,20939,22161.34359999816
node,highlands,128,1,soil-cache,73,20313,22016.12500000163
node,highlands,128,1,soil-saturation,73,21990,23687.852899999823
node,highlands,128,1,water-wasm,73,18358,19862.387499999488
node,highlands,128,1,combined,73,17469,20443.368399999803
node,highlands,128,10,baseline,73,28846,31476.995500002056
node,highlands,128,10,water-sparse,73,24952,26703.098600002006
node,highlands,128,10,soil-cache,73,27326,30134.795699998736
node,highlands,128,10,soil-saturation,73,27144,28788.050000004005
node,highlands,128,10,water-wasm,73,23187,24847.342300001998
node,highlands,128,10,combined,73,18142,19156.606900001876
node,highlands,128,11,baseline,73,26950,30464.158499999437
node,highlands,128,11,water-sparse,73,24549,27262.07590000052
node,highlands,128,11,soil-cache,73,25480,28908.442000001203
node,highlands,128,11,soil-saturation,73,27203,31227.563699999824
